Epoch,Training Loss,Training Accuracy,Training Top5 Accuracy,Validation Loss,Validation Accuracy,Validation Top5 Accuracy,Learning Rate,Training Stamp,Runtime
66,0.5921,0.7861,0.9922,1.2057,0.6363,0.9624,0.0008192,1650873834.0,4981.0
67,0.5668,0.7946,0.993,1.2349,0.6333,0.9633,0.00065536,1650873916.0,5063.0
68,0.5569,0.7983,0.994,1.2508,0.6338,0.9617,0.00065536,1650873997.0,5144.0
69,0.5504,0.8009,0.9938,1.2632,0.6258,0.9628,0.00065536,1650874079.0,5226.0
70,0.5423,0.803,0.9941,1.2552,0.6288,0.9639,0.00065536,1650874161.0,5308.0
71,0.5386,0.8045,0.9941,1.2552,0.6288,0.9639,0.00065536,1650874161.0,5308.0
72,0.5386,0.8045,0.9941,1.2706,0.6296,0.9642,0.00065536,1650874243.0,5390.0
73,0.518,0.8123,0.9953,1.2922,0.6292,0.9623,0.00052429,1650874325.0,5472.0
74,0.5078,0.8166,0.995,1.3111,0.6333,0.9634,0.00052429,1650874407.0,5554.0
75,0.5081,0.8159,0.9956,1.3178,0.63,0.9627,0.00052429,1650874489.0,5636.0
76,0.4958,0.8192,0.9962,1.3121,0.6295,0.9626,0.00052429,1650874571.0,5718.0
77,0.4933,0.8219,0.9958,1.3121,0.6295,0.9626,0.00052429,1650874571.0,5718.0
78,0.4933,0.8219,0.9958,1.3347,0.63,0.961,0.00052429,1650874653.0,5800.0
79,0.48,0.825,0.9962,1.3378,0.6323,0.9624,0.00041943,1650874735.0,5882.0
80,0.4675,0.8308,0.9962,1.3351,0.6315,0.9629,0.00041943,1650874817.0,5964.0
81,0.4635,0.8338,0.9967,1.3714,0.6334,0.9618,0.00041943,1650874898.0,6045.0
82,0.4564,0.8346,0.9966,1.3776,0.6253,0.9607,0.00041943,1650874980.0,6127.0
83,0.458,0.8331,0.9963,1.3776,0.6253,0.9607,0.00041943,1650874980.0,6127.0
84,0.458,0.8331,0.9963,1.3673,0.6331,0.9607,0.00041943,1650875062.0,6209.0
85,0.441,0.84,0.9968,1.386,0.6318,0.9618,0.00033554,1650875144.0,6291.0
86,0.4362,0.8417,0.9965,1.3996,0.6342,0.9606,0.00033554,1650875226.0,6373.0
87,0.4336,0.844,0.9968,1.4083,0.6317,0.9618,0.00033554,1650875308.0,6455.0
88,0.4274,0.8459,0.9968,1.4094,0.6277,0.9608,0.00033554,1650875390.0,6537.0
89,0.4267,0.8468,0.997,1.4094,0.6277,0.9608,0.00033554,1650875390.0,6537.0
90,0.4267,0.8468,0.997,1.4264,0.6315,0.9613,0.00033554,1650875472.0,6619.0
91,0.4153,0.8506,0.9972,1.4458,0.6276,0.9606,0.00026844,1650875554.0,6701.0
92,0.4104,0.8509,0.9977,1.429,0.6308,0.9623,0.00026844,1650875604.0,6751.0
93,0.4098,0.8515,0.9974,1.4569,0.6311,0.9612,0.00026844,1650875686.0,6833.0
94,0.4019,0.8554,0.9974,1.4628,0.6276,0.9621,0.00026844,1650875768.0,6915.0
95,0.4071,0.8523,0.9974,1.4628,0.6276,0.9621,0.00026844,1650875768.0,6915.0
96,0.4071,0.8523,0.9974,1.4621,0.6259,0.9612,0.00026844,1650875850.0,6997.0
97,0.3926,0.8581,0.9972,1.4901,0.6232,0.9601,0.00021475,1650875932.0,7079.0
98,0.3885,0.8588,0.9973,1.4819,0.6266,0.96,0.00021475,1650876014.0,7161.0
99,0.3905,0.858,0.9977,1.4905,0.6276,0.9608,0.00021475,1650876096.0,7243.0
100,0.3835,0.861,0.9979,1.5091,0.6243,0.9591,0.00021475,1650876177.0,7324.0
101,0.3809,0.8614,0.9979,1.5091,0.6243,0.9591,0.00021475,1650876177.0,7324.0
102,0.3809,0.8614,0.9979,1.4978,0.6256,0.961,0.00021475,1650876259.0,7406.0
103,0.3729,0.8638,0.998,1.5087,0.6291,0.9601,0.0001718,1650876342.0,7489.0
104,0.3688,0.8675,0.998,1.5112,0.6294,0.9606,0.0001718,1650876423.0,7570.0
105,0.3701,0.8661,0.9982,1.5142,0.6265,0.9598,0.0001718,1650876505.0,7652.0
106,0.3659,0.8668,0.9978,1.5096,0.6285,0.9609,0.0001718,1650876587.0,7734.0
107,0.3667,0.8669,0.9978,1.5096,0.6285,0.9609,0.0001718,1650876587.0,7734.0
108,0.3667,0.8669,0.9978,1.539,0.628,0.9593,0.0001718,1650876669.0,7816.0
109,0.3608,0.8694,0.9982,1.5298,0.6284,0.9606,0.00013744,1650876751.0,7898.0
110,0.3552,0.87,0.9983,1.5381,0.6249,0.9584,0.00013744,1650876833.0,7980.0
111,0.3592,0.8695,0.9984,1.5463,0.6291,0.9591,0.00013744,1650876915.0,8062.0
112,0.3534,0.8696,0.9982,1.5573,0.6258,0.9593,0.00013744,1650876997.0,8144.0
113,0.3521,0.8703,0.9982,1.5573,0.6258,0.9593,0.00013744,1650876997.0,8144.0
114,0.3521,0.8703,0.9982,1.5569,0.6251,0.9595,0.00013744,1650877079.0,8226.0
115,0.3436,0.8766,0.9986,1.5678,0.6249,0.9594,0.00010995,1650877161.0,8308.0
116,0.3399,0.8755,0.9986,1.5688,0.6273,0.9591,0.00010995,1650877242.0,8389.0
117,0.3433,0.8749,0.9983,1.582,0.6242,0.9592,0.00010995,1650877325.0,8472.0
118,0.346,0.8752,0.9985,1.5835,0.6255,0.9596,0.00010995,1650877407.0,8554.0
119,0.3439,0.8758,0.9983,1.5835,0.6255,0.9596,0.00010995,1650877407.0,8554.0
120,0.3439,0.8758,0.9983,1.5817,0.6242,0.9589,0.00010995,1650877488.0,8635.0
